,FACILITY_ID,FACILITY_NAME,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,STREET_UNIT,PHONE,EXT,SECOND_PHONE,SECOND_EXT,ADDRESS_KEY,ADDRESS_ID,DAYS_OF_OPERATION,HMCD_CATEGORY,HOURS_OF_OPERATION,CROSS_REF,FACILITY_OWNER_ID,PROPERTY_OWNER_ID,EMPLOYEES,BUS_NAME,IS_LAND_TRUST,SITE_ADDRESS,ADDRESS2,CROSS_STREET,CITY,STATE,ZIP,CENSUS,DISTRICT,LOCATION,CITY_CODE,MADDRESS1,MADDRESS2,MCAREOF,MCITY,MSTATE,MZIP,UPDATE_ACCT_REC,ACCTREC_ADDR,APN,SIC_CODE,AID,KEY1,KEY2,COMMENT1,DATE1,COMMENT2,CODE_1,BUS_CODE,CODE_2,BUS_TYPE,CODE_3,NOB,HMIRRP_DATE,WATER,PROCESS_EMITTENTS,STACK,GAS_EMISSIONS,PROGRAM,HAZMAT,PERMIT,EMISSION_FACTORS,CDS,SOURCE_TEST_DATA,CROP,WATER_WELL_PERMIT,COMPLAIN,SERVICE_REQUEST,ONSITE,SEPTIC,JURISDICTION,DATE_CERTIFIED,OWNER_SWITCH_DATE,SIGNATURE_OF_OWNER,ENTERED_DATE,ENTERED_BY,UPDATE_DATE,UPDATE_BY,MCOUNTRY_CODE,UDF_LATITUDE_OLD,UDF_LONGITUDE_OLD,LAST_TOUCHED,owner_id,code,city_name,status,ADDITION,BLOCK,LOT,SPLIT,FAX,EMAIL,NOTIFICATION_STATUS,PERMIT_STATUS_FACILITY,PERMIT_STATUS_INTERIM,PERMIT_STATUS_STANDARD,PERMIT_STATUS_VARIANCE,PERMIT_STATUS_CONSENT,CERT_NAME,CERT_TITLE,CERT_DATE,HYPHEN_FRACTION,POST_DIRECTIONAL,STREET_UNIT_TYPE,TEMP_FACILITY_ID,BFS_LAST_TOUCHED,IS_SHORT_REVIEW_PERIOD,REQUEST_REASON,IS_ALL_ONE_UNIT,IS_ALL_PLOT_PLAN,IS_PBRCA_CLOSURE_FINANCIAL,IS_PBRCA_SELF_CERTIFIED,IS_PBRCA_OTHER,IS_PBRCA_PRIOR_HISTORY,IS_PBR_TANK,IS_PBR_NOTIFY_AGENCY,IS_PBR_NOTIFY_OWNER,CONTRIBUTOR,CROSS_REF2,GIS_LATITUDE,GIS_LONGITUDE,GIS_ELEVATION,IS_NON_SMOKING,CONSOLIDATE_NRT,FAX_EXT,NAICS_CODE,SWIS_NUMBER,COUNTRY_CODE,OID,CERS_ID,CUPA_FACILITY_ID,IS_TEAM_CANDIDATE,SITE_ADDRESS_SUPPLEMENTAL,HORIZONTAL_ACCURACY_MEASURE,HORIZONTAL_COLLECTION_METHOD,GEOGRAPHIC_REFERENCE_POINT,HORIZONTAL_REFERENCE_DATUM,ORGANIZATION_CODE,ORGANIZATION_NAME,DATA_COLLECTION_DATE,FACILITY_STATUS,UDF_RESULTCODE,UDF_MATCHCODE,UDF_LOCATIONCO,GEOCODESTATE,UDF_WELL_PWSID
0,FA0000002,Parkway Bar and Grill,22775.0,E,Aurora,Pkwy,C8,3036936200.0,,,,  22775EAuroraUnitPkwyC8Aurora,9763,,,,,OW0000021,,,,N,22775 E Aurora Pkwy Unit C8,"22775 E Aurora Pkwy, Unit C8",,Aurora,CO,80016,27,3.0,,,22775 E Aurora Pkwy,Unit C8,,Aurora,CO,80016,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,2.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,dnen3@aol.com,,,,,,,,,,,,Unit,,,,,,,,,,,,,,,,39.574413,-104.723839,,,,,,,,1DAF403F-D866-4C33-9EFE-C7576B66CD11,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
1,FA0000003,123 Pho Inc,3624.0,E,Highlands Ranch,Pkwy,201,3034712228.0,,,,   3624EHighlands RanchStePkwy201Highlands Ranch,10654,,,,,OW0000022,,,,N,3624 E Highlands Ranch Pkwy Ste 201,,,Highlands Ranch,CO,80126,39,18.0,,,3624 E Highlands Ranch Pkwy Ste 201,,,Highlands Ranch,CO,80126,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,ccchang6@yahoo.com,,,,,,,,,,,,Ste,,,,,,,,,,,,,,,,39.5427842367,-104.9478310049,,,,,,,,390D0FFE-776F-4DCB-8586-7FE2603C08B9,,,N,,,,,,,,,Inactive,,,,,
2,FA0000004,Dairy Queen,14901.0,E,Colfax,Ave,,3033630935.0,,,,  14901EColfaxAveAurora,9761,,,,,OW0000026,,,,N,14901 E Colfax Ave ,14901 E Colfax Avenue,,Aurora,CO,80011,24,1.0,,,14901 E Colfax Avenue,,,Aurora,CO,80011,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,4.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.740215,-104.814636,,,,,,,,9F43DD71-04B4-4933-9E9B-5336C313F98E,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
3,FA0000005,IHOP 1821,13700.0,E,Mississippi,Ave,,3037437474.0,,,,  13700EMississippiAveAurora,9760,,,,,OW0004332,,,,N,13700 E Mississippi Ave ,13700 E Mississippi Avenue ,,Aurora,CO,80012,28,3.0,,,13700 E Mississippi Avenue,,,Aurora,CO,80012,,M,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,10.0,1.0,,,6.0,,2016-01-21 00:00:00.000,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.696468,-104.833115,,,,,,,,D5C614FF-8F7B-4F3D-B3A5-C8231C83A20F,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
4,FA0000006,Ho Wei Chinese,7262.0,,Broadway,,,3036504880.0,,,,   7262BroadwayDenver,4720,,,,,OW0012850,,,,N,7262 Broadway ,,,Denver,CO,80221,51,1.0,,,7262 Broadway,,,Denver,CO,80221,,M,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,2017-03-15 00:00:00.000,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.867619,-105.052994,,,,,,,,01E04752-B49D-4C6E-91DA-CAFBE8B106E4,,,N,,,,,,,,,Active,,,,,
5,FA0000007,Turn of the Century Bingo,1921.0,S,Havana,St,,3037524646.0,,,,   1921SHavanaStAurora,9759,,,,,OW0000035,,,,N,1921 S Havana St ,1921 S Havana Street,,Aurora,CO,80014,28,3.0,,,1921 S Havana Street,,,Aurora,CO,80014,,,,,,,,,,,,,12.0,,16,,,,,,,1.0,,,,,,,,2.0,,,,6.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,pjultak@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.681671,-104.865997,,,,,,,,D86CF8E8-9900-49D3-B75D-AB18FD72C31D,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
6,FA0000008,Thirstys Sports Pub,1294.0,E,104th,Ave,,7209292283.0,,,,   1294E104thAveThornton,11175,,,,,OW0000036,,,,N,1294 E 104th Ave ,1294 E 104th Avenue ,,Thornton,CO,80229,55,1.0,,,1294 E 104th Avenue,,,Thornton,CO,80229,,,,,,,,,,,,,2.0,,3,,,,,,,1.0,,,,,,,,1.0,,,,4.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.804726,-104.912964,,,,,,,,04120235-504F-4805-86CF-F87ED046B0F3,,,N,,,,,,,,,Active,,,,,
7,FA0000009,24 Hour Fitness,6839.0,S,Vine,St,,3032091116.0,,,,   6839SVineStCentennial,9757,,,,,OW0000037,,,,N,6839 S Vine St ,6839 S Vine Street,,Centennial,CO,80122,14,3.0,,,6839 S Vine Street,,,Centennial,CO,80122,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.592022,-104.964279,,,,,,,,65A63CC9-96BA-44B6-A8EF-62489A3A7B2E,,,N,,,,,,,,,Active,S5HPNTSCZA,S80,AS0,,
8,FA0000010,24 Hour Fitness 337,4650.0,W,120th,Ave,,7208879024.0,,,,   4650W120thAveBroomfield,11081,,,,,OW0000037,,,,N,4650 W 120th Ave ,4650 W 120th Avenue,,Broomfield,CO,80020,50,1.0,,,4650 W 120th Avenue,,,Broomfield,CO,80020,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,4.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,7208879090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.817307,-105.025345,,,,,,,,4ED3C676-EA47-44CB-9FC7-DE0A4E6B2EAA,,,N,,,,,,,,,Active,,,,,
9,FA0000011,24 Hour Fitness 350,11798.0,E,Oswego,St,,3037922466.0,,,,  11798EOswegoStEnglewood,9755,,,,,OW0000037,,,,N,11798 E Oswego St ,,,Englewood,CO,80112,40,18.0,,,11798 E Oswego St,,,Englewood,CO,80112,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,7.0,,,N,2013-07-03 00:00:00.000,DSCHOME\,2017-10-27 00:00:00.000,TCHD.ORG\hadams,,,,2017-10-27 17:49:39.833,,,,,,,,,,cmclub3so@24hourfit.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5387339663,-104.8548268826,,,,,,,,337D4F69-EBC7-4410-A80B-5029580D231E,,,N,,,,,,,,,Active,,,,,
